Filename,Transcription,Status
person_5_Nun ghatau far.wav,1 kg गाताओ,Success
person_1_चामल एक किलो थप - Clear.wav,चामल एक किलू थब�.,Success
person_5_Dal thapa no noise.wav,दाव विक्किले तबाव।,Success
person_4_tel kati baki cha - far.wav,तेल कोडि बागी जा।,Success
person_6_1c.wav,1 kg chaamal,Success
Nahiti Batukvairab Marga 43.m4a,बिसकित भीस पैकेट कटा हुँ,Success
Anda kati baki 1.mp3,अन्दा कोती बागी शा.,Success
person_1_दाल एक किलो बेच - Noise.wav,दाल एक किलो देज़ब।,Success
Nahiti Batukvairab Marga 57.m4a,ये साप पॉतिस्किनो तपा,Success
Besar thapa noise.m4a,एसा पात्सुस्कि लोड़ाबाद।,Success
person_8_chamal3.wav,चामाल एक तिलो बेच।,Success
person_7_22y.wav,दाल एक किलो बेचा,Success
person_3_13.1.wav,चुह निये कोटी बाखी न तुर 然後 भुलुं गदा,Success
person_5_Nun becha noise.wav,नुइ अइक्टिना वेजिन।,Success
person_2_13.1.wav,जीनी कोती बाकी छो?,Success
Besar thapau5.m4a,पेसार पौच्छीस किरो गाता हूँ,Success
person_1_नुन कति बाँकी छ - Mic_s far away.wav,नून कती बाकी छो?,Success
Besar kati baki 1.mp3,बिसर कोटी बाखी छो?,Success
person_3_11.3.wav,तेल एक लिटार बेजा,Success
person_2_11.3.wav,तेल एक लिटर बेचाओ,Success
Besar baaki5(1).m4a,बेसार कती पाकी छोग,Success
Biscuit ghatau 1.mp3,बिस्किट 20 पाकिट कोता।,Success
person_2_11.2.wav,एक लिटर तेल भेचाओ,Success
"13 Feb, 22.39​(7).wav",अड़ा पन्रोवरा तबा,Success
"person_8_tel4,.wav",तेल एक किल्यों बढ़ाँ,Success
person_3_11.2.wav,तेल एक लिटर बेजा,Success
person_1_चीनी एक किलो घटाउ - Mic_s far away.wav,큿ी 1 securing,Success
person_5_Chini thapa normal.wav,जी नी एक छी लू धाबा,Success
"13 Feb, 22.34​(9).wav",बेसार कती बागी था?,Success
Besar thapau4.m4a,बेसार पचिस किलो घाता हूँ,Success
person_7_55z.wav,1 kg कटाओ,Success
person_7_22x.wav,दाल एक किलो थापा,Success
Chiura ghatau 1.mp3,चीव्रा 5 किलो गटाउ,Success
Anda thapa1(1).m4a,अण्डा पंद्र अडद तपा,Success
person_8_chamal2.wav,सामालेक्किलो थर्प।,Success
person_1_चीनी एक किलो बेच - Clear.wav,सि Denni Ek Kiloo Bite,Success
Nahiti Batukvairab Marga 56.m4a,पेसार कटी बाकी छा?,Success
Nahiti Batukvairab Marga 42.m4a,बिस्किर बीस्पाकेर कटाओ।,Success
person_4_chamal Kati baki cha - far.wav,चामुल कोटी बाकी जो,Success
person_4_nun tjapa- noise.wav,नूँइट ब्लो धबा,Success
person_6_1b.wav,चामल एक किलो थप,Success
Besar bechey5(1).m4a,बेसार पचिस किलो बेचे,Success
person_2_9.1.wav,तेल कती बाकी था?,Success
Besar thapa3(1).m4a,भेशार पौचिस किलो धपा,Success
Besar ghatau 1.m4a,बिस्कृट बीस्पाकेट काता हूँ,Success
person_5_Nun kati baki noise copy.wav,अनुन कती बाटी जहाँ?,Success
person_1_तेल कति बाँकी छ - Mic_s far away.wav,तेल कोटी बागी छाँ?,Success
person_8_chamel4.wav,चामाल एक किलो गटाउ,Success
Chiura beche noise.m4a,चुडा पाथ किलोबीतें,Success
Anda baki12(1).m4a,अंडा कोती बाकी छो?,Success
person_2_9.3.wav,तेल कती बाकी छो?,Success
"13 Feb, 22.36​(2).wav",चुड़ा पाथ्स किलो धबा,Success
Anda ghatau noise.m4a,पाँड़ोड़ा काटाओवूं,Success
Besar baaki5.m4a,बेसार कती पाकी छोग,Success
Nahiti Batukvairab Marga 54.m4a,अड़ा पंद्रा अटा भेचे,Success
person_1_नुन एक किलो थप - Mic_s far away.wav,नूलणकि işi के आप Course,Success
Anda kati baki 2.mp3,अन्डा कदी बाकी जब?,Success
Nahiti Batukvairab Marga 40.m4a,पिस्किर बीज पैकेट बेचे,Success
person_4_tel ghatau.wav,तेल एक लिटर गटावू,Success
Chiura baaki5.m4a,छीव रा गाती बागी छाओ,Success
person_8_tel4.wav,तेल एक किलो गटाउ,Success
Maida baki normal.m4a,मही दा कोटी बाकी छो?,Success
Besar thapa5.m4a,बिसकृट भी स्पागेट थपा,Success
Chiura thap 4.mp3,जीव्राव पांस्किल तब्प।,Success
person_4_chamal ghatau - noise.wav,8 kg बड़ाओ,Success
person_2_13.2.wav,चीनी कटी बाकी था?,Success
person_7_55x.wav,नुन एक किलो थबा,Success
"13 Feb, 22.35​(4).wav",बिस्कृ बिस्पैकेट धबा,Success
person_3_13.2.wav,जिनी का दिवाखिछ आ।,Success
Chiura ghatau 3.mp3,चीवरा 5 किलो गटाव।,Success
person_2_2.wav,एक किलो चामल थपा,Success
person_7_22z.wav,ताल एक किलो कटाव।,Success
person_1_नुन एक किलो बेच - Noise.wav,नुन एक किलो बेजा,Success
Anda baki5(1).m4a,अन्डा कती बाकी छो?,Success
Chiura thapa5.m4a,times इस्ट्रिवराप南,Success
Maida ghatau 4.mp3,माईदा 10 किलो गटाव।,Success
Besar kati baki 2.mp3,बेसार कौती बाखी चाओ?,Success
person_7_5w.wav,अन कती बैकी सा?,Success
New Recording 59.m4a,बिसकिट बिस पैकेट बेचो,Success
Biscuit ghatau 3.mp3,बी स्वाके रवादाव।,Success
person_4_tel thapa - far.wav,तेल एक लिड़ धबा,Success
New Recording 58.m4a,बिसकिट बिस पैकेट थापा,Success
Besar bechey 1.m4a,मिस्कृदबीस्पागत् बेते,Success
"13 Feb, 22.34​(5).wav",अड़ा कती बागी था?,Success
person_3_11.1.wav,तेल एक लिटर बेजा,Success
person_1_चीनी एक किलो घटाउ - Noise.wav,C.B. 1 kg गटाओ,Success
person_2_11.1.wav,एक लिटर तेल भेचाओ,Success
"person_8_chini3,.wav",जिन्ये किल्यो बेट।,Success
Besar kati baki 3.mp3,वे सर कटी बागी छा?,Success
Chiura thapa4.m4a,tru자 Bhatsaki Lo Compiment pert 맛 kgasps soya,Success
person_3_13.3.wav,जिनी गदी बागी छौँ,Success
Chiura ghatau 2.mp3,जुरा 5 किलो गटाव।,Success
person_2_13.3.wav,ব� cogn বরর���ররেব্রে বেবে বে বর বররে ব্রে,Success
person_7_55y.wav,年 1 kg外,Success
Chiura thap 5.mp3,5 kg तॉप,Success
person_5_Nun ghata noise.wav,,Success
Besar thapa4.m4a,अबिसकोड बीस्पाकेट थोपाव।,Success
person_8_chamal1.wav,सामाल कती बाकी सा?,Success
Maida baki noise.m4a,माईदा कौटी बाकी था।,Success
person_5_Tel  kati baki normal.wav,दिल कोडी बाकी जहा?,Success
person_5_Dal kati baki normal.wav,दाल कोडी बाकी था?,Success
Chiura baaki4.m4a,चीवुराका तिपाकी तो,Success
Anda kati baki 3.mp3,अच्छाना को दिआद साथ।,Success
Nahiti Batukvairab Marga 41.m4a,बिस्कित बीश्पैकेट बेजे।,Success
Nahiti Batukvairab Marga 55.m4a,अंडा पान्द्रो वटाग आटाव।,Success
person_6_1a.wav,चामुल कती बाकी सा?,Success
Besar baaki4.m4a,विशर कोती बाकी छो?,Success
person_5_Nun kati baki  far.wav,नुण कटे बागी था?,Success
person_1_चामल कति बाँकी छ - Mic_s far away.wav,चामल कती बांकी छाँ?,Success
person_2_9.2.wav,तेल कोती बाकी था?,Success
Anda ghatau3(1).m4a,अंडप पून्धो रोड़ा गताव।,Success
person_5_Dal thapa noise.wav,अच्छान इद्टिनी ताबा,Success
person_4_chamal ek kilo becha - far.wav,चामल एक किलो भेज़ा,Success
"13 Feb, 22.37​(3).wav",25 kg थाबा,Success
person_5_Chamal ghatau no noise.wav,चामल एकिल गटाओ,Success
person_1_दाल एक किलो घटाउ - Mic_s far away.wav,दाल एक किलो बढ़ाव।,Success
person_8_chamel1.wav,चामल कती बाकी छा?,Success
"13 Feb, 22.37​(2).wav",बेसार कोती बाकी सो?,Success
Besae beche noise.m4a,अभी साथ पाथस्सस्किन अभी तेइ।,Success
person_3_9.3.wav,तेल कोती बागी छाँ।,Success
person_8_chamal.2.wav,चामाले किलो थाप्प।,Success
New Recording 8.m4a,चिव्रा पांज किलो गठाव।,Success
person_3_17.3.wav,уть margins,Success
person_1_तेल कति बाँकी छ - Clear.wav,तेल कोती बाकी जो,Success
person_2_17.3.wav,नून कती बाकी था?,Success
person_4_chamal ek kilo thapa.wav,,Success
person_1_दाल एक किलो बेच - Mic_s far away.wav,दाल एक किलो बेचाँ,Success
Nahiti Batukvairab Marga 51.m4a,मैदा तोस किलो घटा हूँ,Success
person_3_15.1.wav,জিনি এখ খোলা বেদ্ আ,Success
Nahiti Batukvairab Marga 45.m4a,तुरा बाइज्किला थबड।,Success
person_2_15.1.wav,एक किलो चीडि बेचा,Success
Chiura thap 1.mp3,चुरा 5 किलु धुप,Success
person_8_tel1.wav,तेल कोती बांकी शा?,Success
Besar thap 1.mp3,भेसार पौचीस किलो थौप।,Success
person_5_Nun thapa normal.wav,,Success
Besar thapau3.m4a,बेसार पौचिस किलो गटा हो,Success
Maida ghatau 1.mp3,माईदा 10 किलो कटाव,Success
person_5_Tel kati baki noise.wav,तीम को दिबागी जो,Success
"person_8_chini2,.wav",सीनी गिलताथ,Success
New Recording 48.m4a,महिदा 10 किलो गटा हूँ।,Success
"13 Feb, 22.34​(4).wav",मैदा 10 किलो कटाव,Success
New Recording 60.m4a,बिसकिट बिस पैकेट गटा हूँ,Success
person_4_daal thapa.wav,दाल एक किलू थबा,Success
New Recording 49.m4a,अड़ा कती बाकी सो?,Success
person_5_Chink becha far.wav,जीनी एकलो बेजा,Success
person_5_Chamal ghatau far.wav,तामल एक्किल्लो गडाव।,Success
person_7_4w.wav,चिनी कोती बागी सा?,Success
"13 Feb, 22.35​(5).wav",बिस्कृ 20 पैकेट बेजें,Success
Chiura thapa1.m4a,25 kg तपर,Success
Besar thapau2.m4a,बेसार पौचीस किलो गटा हूँ,Success
Anda ghatau1(1).m4a,अन्डप पन्दरोता का ताव।,Success
person_5_Chini thapa far.wav,जीनी एक्छला धबा,Success
Besar thapa1.m4a,25 kg थापा,Success
Nahiti Batukvairab Marga 44.m4a,चीव्रा कटी बाकी छा?,Success
Nahiti Batukvairab Marga 50.m4a,महिदा 10 किलो भेचे,Success
Chiura baaki1.m4a,जिबुरा कती बाकी छो?,Success
"13 Feb, 22.36​(3).wav",चुरा पाच किलो बेजें,Success
person_6_1d.wav,चामल एक किलो खटाव,Success
Besar baaki1.m4a,बेशार कोती बाकी छो?,Success
person_2_17.2.wav,मुन कती बाकी जब ?,Success
person_3_17.2.wav,गाती बाकी छाँ।,Success
person_4_tel thapa.wav,तिल एक लिटों धपा,Success
New Recording 9.m4a,अइदा कती बाकी छो?,Success
person_3_9.2.wav,इल्कती बागी छौप।,Success
person_4_nun ghatau - noise.wav,आइँ आ आ किलो बढ़ाई तरके,Success
person_5_Nun ghatau normal.wav,नुन यतिलो कटाव,Success
Anda ghatau normal.m4a,अड़ा पंद्रवोटा गथाओ।,Success
person_1_तेल एक किलो थप - Noise.wav,तेल एक किलो थाबब,Success
person_8_chamel2.wav,चामाले किलो थोप।,Success
person_1_चामल कति बाँकी छ - Clear.wav,चामल कति बाकी छो?,Success
Chiura baki normal.m4a,छुरा कोटी बाकी था?,Success
person_5_Chamal kati baki normal.wav,चामल कोडि बाती जहा?,Success
Chiura 5 kilo thapa.m4a,चीवरा पात्किलो थबा,Success
person_5_Chamal kati baki far.wav,जा हमाल कौची बाकी जा।,Success
person_8_chamal.1.wav,चामल कती बांकी छा?,Success
person_5_Tel thapa far.wav,तेल एकिल धबाग,Success
Besar baaki3.m4a,बिसार कती बागी थो?,Success
person_1_चामल एक किलो घटाउ - Mic_s far away.wav,चामल एक किलो कटाव।,Success
Anda bechey2(1).m4a,अन्दा पांद्रो अदा बेजे।,Success
Chiura baaki3.m4a,चिव्राकाती बाकी छो,Success
person_2_15.2.wav,एक किलो चीडि बेचाँ।,Success
Anda kati baki 4.mp3,अम्मभदी बागी छोँ?,Success
Nahiti Batukvairab Marga 46.m4a,जिरा पाँछ किलो भीचे,Success
Nahiti Batukvairab Marga 52.m4a,अंड़ा कती बाकी शा?,Success
person_3_15.2.wav,जुनी एक किलो बेचा,Success
Chiura thap 2.mp3,चीव राए 5 किल्ल तब।,Success
Besar thapa3.m4a,भेशार पौचिस किलो धपा,Success
person_4_tel kati baki cha - noise.wav,तेल कोती बागी जहाँ?,Success
person_8_tel2.wav,देलेक्डिल तब।,Success
Biscuit beche.m4a,बिसकुट बिसपागिद पीची,Success
Chiura thapa3.m4a,चीव्रा बाच किलो थपा,Success
Maida ghatau 2.mp3,माईदा 10 किलो कटाव।,Success
Besar thap 2.mp3,बिसार्पजिस्कुड थाओप।,Success
Chiura ghatau 5.mp3,जीव्रा 5 किलो भटाव,Success
"13 Feb, 22.34​(10).wav",बेसार पचिस किलो थापा,Success
Maida beche noise.m4a,मैं दाँदोस्पिन अभेतिन।,Success
Chiura bechefar.m4a,चुड़ा 5 किलो बेचे,Success
person_4_daal becha - noise.wav,दाल एक किलो बेचाँ,Success
"13 Feb, 22.34​(8).wav",अण्ड़ पन्दरवड़ कटाव।,Success
New Recording.m4a,चुरागती बाकी छाँ?,Success
person_4_daal thapa - noise.wav,दाल इत कीवू थोकाई,Success
"13 Feb, 22.39​(6).wav",अन्डा गती बागी साथ।,Success
person_5_Chamal becha no noise.wav,चामल एक किलो बेज़ाँ,Success
Chiura ghatau noise(1).m4a,पुरापाथ किलोवा टाउगुगुप।,Success
person_5_Tel becha no noise.wav,तेल एक किलू बेजाओ,Success
Anda beche normal.m4a,अन्ड़ा पान्द्रविड़ा बेचे.,Success
"person_8_dal1,.wav",तादगादी बाइंकी छो?,Success
Chiura ghatau 4.mp3,चीवरा 5 किलो कटाव।,Success
Besar thap 3.mp3,25 kg तौब,Success
Maida ghatau 3.mp3,अमाई दा 10 किलो गटा लिए।,Success
Chiura thapa2.m4a,চেউডা পাছ কিল তা পা.,Success
person_8_tel3.wav,तेलेक्ड्किलोबेट।,Success
Besar thapa1(1).m4a,25 kg थापा,Success
Besar thapa2.m4a,देसार पटिस्किलो थापा,Success
Chiura thap 3.mp3,जीव रहा पाँच कीटो थोब।,Success
Chiura thapa far.m4a,0.8kg,Success
person_3_15.3.wav,বের্ররেরে বেরর্রের্রে,Success
Nahiti Batukvairab Marga 53.m4a,अंड़ा पांद्रा वाटा थपा,Success
Anda kati baki 5.mp3,पर्मदा कोड़ी बाकी छाओँ,Success
person_2_15.3.wav,See the 8 Knight,Success
Nahiti Batukvairab Marga 47.m4a,चुरा पाच किलो घटा हुँ,Success
Chiura baaki2.m4a,चीव्रा कती बाकी छो?,Success
Anda thapa3(1).m4a,अड़ा पण्रो अटा थोपा,Success
Besar baaki2.m4a,बिसार् कती बागी छो,Success
Besar thapa4(2).m4a,देशार पाचीस किला थापा,Success
person_3_17.1.wav,геро beginner,Success
person_2_17.1.wav,වසවි regrets,Success
Maida thapa normal.m4a,माइदा 10 किलो थापा,Success
person_3_9.1.wav,तिल कती बाईकी छा,Success
person_8_chamel3.wav,तामो लिठः घड़ि�כלु unlithesiah,Success
person_7_222z.wav,दाल एक किलो कटाव।,Success
person_8_nun3.wav,नून एक किलो बेट्स।,Success
"13 Feb, 22.39​(10).wav",बेसार कती बाकी छो?,Success
"13 Feb, 22.40​(6).wav",बिस्कृ भी अपकेट बेचें।,Success
"13 Feb, 22.36​(4).wav",चुड़ा 5 किलो कटाओ,Success
Chiura ghatau noise.m4a,तुम्जाए पाच किलो गटाओ।,Success
person_6_333a.wav,तेल कठी बाकी शाँ।,Success
person_2_12.2.wav,1 litre तेल कटाओ,Success
Nahiti Batukvairab Marga 20.m4a,अडा कती बागी था?,Success
Nahiti Batukvairab Marga 34.m4a,25000 kg गटाउ।,Success
person_3_12.2.wav,तेल एक लिटर घाटा हुँ,Success
Maida ghatau5.m4a,मैदा 10 किलो भाटाव,Success
person_2_8.3.wav,दाल एक किलो घटाव,Success
person_1_चामल एक किलो थप - Mic_s far away.wav,चामल एक किलो थबः,Success
"13 Feb, 22.35​(2).wav",पेसार पुछ्छिस किलो का टावु,Success
person_5_Nun thapa noise.wav,नून इक्छी नुट अग्वाँ।,Success
Biscuit baki noise.m4a,"विस्पू, क्याठिवाइपी छाहूँग।",Success
Anda ghatau5(1).m4a,अंड़ा पौन्दरोता गटाव।,Success
person_7_111y.wav,चामल एक किलो भेचा,Success
person_7_3w.wav,तेल कती बागी सा?,Success
Anda baki1.m4a,अण्डा कोती बाकी था?,Success
New Recording 11.m4a,महिदा दस किलो थपःप,Success
Besar ghatau4.m4a,बिस्कृट बीस्पागेट का ता हुँ,Success
person_5_Dal ghatau far.wav,वाद इक्चिन गधा हूँ।,Success
New Recording 39.m4a,बिस्कृट बीस्पैकेट गटाउ,Success
New Recording 38.m4a,biscuit bis packet beche,Success
person_5_Dal becha far.wav,,Success
Besae beche far.m4a,पेशार पाथ से स्फिल भीचे,Success
person_4_chini thapa.wav,चीनी एक किलो थबा,Success
Besar ghatau5.m4a,बिस्कृ बिस्पागेट गोताव।,Success
person_4_nun becha - noise.wav,नुइप इस्किलो भेजाओ,Success
New Recording 10.m4a,अइन्दा कती बाकी छो?,Success
"13 Feb, 22.34​(3).wav",मैदा दस किलो बेचे,Success
person_7_111x.wav,फिलीजी.,Success
person_8_dal4.wav,दाल एक किलो गटाउ,Success
person_5_Chini kati baki normal.wav,RSRI,Success
person_2_8.2.wav,दाल एक किला कटाव।,Success
Maida ghatau4.m4a,मैदा 10 किलो गाता हूँ,Success
Anda bechey1.m4a,अंड़ पण्रोता बेचे,Success
Nahiti Batukvairab Marga 35.m4a,2725 kg गटा हूँ,Success
person_3_12.3.wav,एक लिटार गटा हूँ।,Success
Nahiti Batukvairab Marga 21.m4a,अडा कोती बागी साओ,Success
person_2_12.3.wav,तेल एक लिटर घाताओ,Success
person_7_333w.wav,ती पाती बाके सा।,Success
Chiura ghatau1.m4a,चुरा पाच किलो गटाउ,Success
Anda baki3(1).m4a,अन्डा कटी बाकी छो?,Success
person_3_10.1.wav,तेल एक लिटर थपा,Success
person_2_10.1.wav,1 litre oil,Success
person_1_नुन एक किलो थप - Noise.wav,नुन एक किलो थापा,Success
person_1_नुन कति बाँकी छ - Clear.wav,नुन कती बाकी छा.,Success
"13 Feb, 22.37​(5).wav",ববু বু বুব 2025 kg বেবু বে বুব,Success
person_8_nun2.wav,,Success
person_1_चामल एक किलो घटाउ - Clear.wav,चामल एक किलो गटाव।,Success
person_5_chamal Thapa no noise.wav,जामल इट्गिली थबा,Success
person_7_222y.wav,दाल एक किलो बेचा,Success
Anda beche 4.mp3,पुन्दरूडबीची,Success
person_3_10.3.wav,त्येम एक लिटर थबा,Success
person_1_चीनी कति बाँकी छ - Noise.wav,1955年....,Success
person_2_10.3.wav,तेल एक लिटर थापः,Success
person_7_11w.wav,अमल कती बागी छा?,Success
Chiura ghatau3.m4a,चुरा पाच किलो घटाओ,Success
person_5_Chamal ghatau noise.wav,तामन इकिनो गाताउ।,Success
person_6_333b.wav,तेल एक लिटर थबा,Success
"13 Feb, 22.36​.wav",चौरा कती बाकी था?,Success
"13 Feb, 22.36​(8).wav",मैदा 10 किलो कटाउ,Success
person_3_12.1.wav,तेन एक लिटर गटाउ,Success
Anda ghatau 5.mp3,अन्डा पान्ड्रावुद्डा गटावु,Success
Nahiti Batukvairab Marga 37.m4a,बिसकेट काती बाके था?,Success
person_2_12.1.wav,एक लिटर तेल कताओ,Success
Nahiti Batukvairab Marga 23.m4a,अंडा पंड्र अटा थवा,Success
Anda bechey3.m4a,अंड़ पौन्दरू वटा बेचे,Success
person_1_तेल एक किलो थप - Mic_s far away.wav,तेल एक किलो थबा,Success
person_4_daal kati baki cha.wav,दाल कोती बागी जहो,Success
Besar thapa5(1).m4a,वेसार पौचीस किलो थापाओ,Success
person_7_111z.wav,चामल एक किलो कटाव,Success
Besar bechey3(1).m4a,बेसार पौत्टीस किलो बेते,Success
